temperature,rainfall,soil_moisture,soil_humidity,ndvi,historical_rainfall,historical_temperature,days_since_planting,soil_type,current_crop,label
26.28,56.52,0.690,0.593,0.726,49.94,24.89,79,argileux,mil,1
36.06,36.98,0.343,0.373,0.395,75.16,35.10,71,loam,mil,1
25.59,7.40,0.246,0.362,0.417,12.20,27.13,21,loam,riz,1
39.54,4.57,0.318,0.194,0.359,36.14,39.08,103,loam,sorgho,1
35.69,8.32,0.120,0.171,0.309,1.89,39.54,25,argileux,mil,0
21.34,20.68,0.240,0.264,0.399,67.11,21.95,26,sableux,arachide,1
36.27,28.43,0.577,0.618,0.577,48.26,35.90,108,loam,mil,3
25.16,50.04,0.769,0.811,0.720,69.10,24.50,5,loam,sorgho,2
21.23,7.92,0.319,0.175,0.435,0.00,21.81,22,loam,arachide,1
20.12,14.86,0.289,0.322,0.456,48.19,21.65,4,sableux,arachide,1
27.63,31.02,0.317,0.311,0.512,23.79,28.04,54,loam,maïs,1
23.93,39.09,0.119,0.164,0.220,25.43,25.17,64,argileux,riz,2
17.94,6.04,0.217,0.198,0.364,29.42,16.85,104,loam,arachide,1
27.24,34.41,0.143,0.209,0.374,42.15,26.15,93,loam,maïs,1
20.26,12.24,0.200,0.230,0.281,30.24,21.11,31,argileux,arachide,0
31.49,24.15,0.253,0.222,0.323,10.51,33.78,78,argileux,maïs,3
15.41,49.48,0.299,0.251,0.423,44.21,14.32,23,loam,arachide,1
14.78,186.73,0.092,0.109,0.503,169.11,13.17,115,argileux,arachide,3
15.68,8.23,0.245,0.255,0.368,15.92,17.27,37,loam,riz,1
27.89,14.18,0.501,0.468,0.553,25.11,29.33,56,argileux,mil,1
25.59,20.98,0.351,0.343,0.394,66.52,25.46,68,loam,coton,3
34.72,34.16,0.278,0.524,0.410,29.04,40.00,19,argileux,coton,1
21.18,73.82,0.476,0.599,0.478,94.27,21.58,109,loam,sorgho,2
29.81,39.12,0.138,0.210,0.388,52.33,28.38,82,argileux,arachide,1
18.84,51.50,0.185,0.183,0.368,85.91,18.22,87,argileux,riz,1
18.70,70.69,0.224,0.415,0.400,95.94,20.04,2,argileux,coton,1
27.05,1.17,0.516,0.549,0.504,39.38,24.88,27,argileux,arachide,1
23.42,12.64,0.227,0.334,0.322,40.39,24.13,18,loam,mil,0
25.03,9.85,0.665,0.702,0.644,48.21,24.68,112,argileux,arachide,3
16.81,45.03,0.632,0.649,0.529,87.36,20.13,111,argileux,coton,3
39.43,32.38,0.220,0.261,0.330,61.35,39.06,49,sableux,maïs,1
28.80,18.26,0.530,0.597,0.477,0.00,32.64,111,sableux,coton,3
17.57,14.94,0.309,0.407,0.468,23.38,18.90,10,loam,arachide,1
24.40,64.08,0.173,0.175,0.491,99.00,19.45,15,loam,riz,1
30.59,84.84,0.547,0.601,0.628,101.70,35.00,66,sableux,riz,1
22.83,4.68,0.393,0.428,0.429,28.19,22.25,78,sableux,maïs,1
13.54,21.20,0.506,0.406,0.587,47.31,14.40,39,loam,mil,1
28.16,124.33,0.126,0.010,0.467,167.77,24.66,22,loam,mil,1
19.17,14.65,0.092,0.055,0.283,48.35,21.26,55,argileux,mil,0
23.97,255.16,0.208,0.174,0.590,282.01,26.80,47,sableux,arachide,1
27.86,6.40,0.238,0.091,0.331,0.43,27.68,87,argileux,riz,0
22.42,7.69,0.207,0.338,0.313,18.73,21.88,17,loam,maïs,0
26.77,17.58,0.128,0.193,0.289,53.79,27.05,116,loam,maïs,2
32.67,99.04,0.436,0.288,0.604,111.18,32.91,33,sableux,sorgho,1
29.15,19.58,0.078,0.148,0.241,25.07,31.52,90,loam,maïs,0
27.26,37.03,0.283,0.241,0.390,74.35,29.15,19,loam,riz,1
28.20,19.28,0.200,0.328,0.304,24.14,27.18,40,argileux,arachide,0
25.95,21.88,0.194,0.149,0.256,34.58,26.17,34,loam,coton,0
28.21,19.94,0.220,0.209,0.307,0.00,26.44,24,argileux,sorgho,0
24.49,38.61,0.243,0.276,0.309,86.59,23.24,66,argileux,riz,1
25.76,13.71,0.395,0.440,0.441,56.02,28.16,118,argileux,riz,1
19.19,6.11,0.064,0.010,0.146,45.15,16.25,24,sableux,coton,0
31.89,106.95,0.481,0.554,0.561,167.80,29.84,26,sableux,coton,1
33.44,35.39,0.053,0.136,0.275,45.65,31.04,64,loam,maïs,0
23.17,21.71,0.130,0.135,0.408,22.34,24.57,27,argileux,maïs,1
39.09,194.63,0.296,0.336,0.603,236.85,37.50,54,argileux,mil,1
14.17,52.07,0.375,0.386,0.479,76.54,15.46,69,sableux,coton,1
23.47,146.67,0.138,0.294,0.355,126.77,22.67,54,sableux,riz,1
27.42,107.95,0.342,0.350,0.565,103.26,28.63,48,sableux,coton,1
14.86,54.67,0.018,0.010,0.351,66.32,19.56,92,loam,sorgho,1
24.43,19.59,0.254,0.260,0.315,32.17,25.40,60,loam,maïs,0
25.38,8.11,0.064,0.012,0.247,71.50,23.83,102,argileux,coton,1
20.86,63.26,0.316,0.339,0.498,90.53,18.88,55,sableux,coton,1
31.17,11.04,0.239,0.391,0.406,13.31,29.18,72,argileux,mil,1
30.02,50.63,0.036,0.010,0.287,73.61,31.03,23,sableux,sorgho,1
24.75,14.14,0.456,0.415,0.525,35.10,20.49,44,sableux,riz,1
25.34,31.60,0.209,0.175,0.359,50.71,27.99,47,loam,riz,1
32.83,1.91,0.287,0.370,0.316,33.34,34.04,34,argileux,maïs,0
29.67,21.04,0.554,0.628,0.548,19.53,28.48,52,sableux,maïs,1
24.40,31.46,0.459,0.521,0.483,54.99,24.40,94,loam,maïs,1
32.21,14.38,0.243,0.124,0.292,0.00,32.09,58,argileux,riz,0
27.29,35.93,0.302,0.326,0.403,75.28,26.71,100,sableux,riz,1
22.65,38.84,0.164,0.129,0.343,79.62,22.79,87,loam,maïs,1
24.23,1.27,0.182,0.292,0.289,11.70,23.00,99,loam,mil,0
21.51,179.96,0.378,0.374,0.727,219.86,22.01,10,argileux,mil,1
25.45,15.95,0.400,0.463,0.476,49.68,23.96,118,sableux,sorgho,1
23.93,19.82,0.226,0.247,0.401,46.36,25.53,73,argileux,mil,1
23.94,23.63,0.492,0.432,0.522,14.59,25.85,76,argileux,mil,1
18.22,7.96,0.175,0.262,0.363,2.17,17.96,5,sableux,maïs,1
34.95,11.47,0.380,0.299,0.323,18.10,37.94,5,argileux,mil,0
32.53,4.15,0.010,0.085,0.201,23.52,31.51,67,argileux,arachide,0
28.13,18.49,0.099,0.266,0.318,37.77,24.89,65,sableux,riz,0
17.00,20.88,0.646,0.666,0.571,0.00,14.84,79,sableux,sorgho,1
20.42,19.26,0.168,0.285,0.287,11.13,20.74,2,argileux,riz,0
24.49,6.22,0.048,0.010,0.156,0.00,23.01,94,loam,arachide,0
24.65,11.34,0.252,0.298,0.439,14.64,26.71,28,sableux,maïs,1
17.30,0.70,0.235,0.175,0.291,5.52,14.89,14,sableux,riz,0
20.24,34.07,0.246,0.237,0.399,66.29,16.94,16,argileux,mil,1
27.23,27.16,0.369,0.372,0.510,50.07,28.12,100,argileux,maïs,1
17.24,17.45,0.167,0.065,0.298,7.58,18.14,45,sableux,sorgho,3
27.95,23.58,0.118,0.191,0.269,6.65,28.70,40,sableux,coton,0
41.16,51.33,0.100,0.151,0.229,38.38,40.00,58,argileux,mil,0
24.88,66.44,0.280,0.138,0.387,67.80,28.18,62,sableux,riz,1
19.21,5.78,0.199,0.100,0.390,53.01,20.17,29,loam,riz,1
23.42,137.28,0.252,0.250,0.466,152.16,22.25,55,sableux,riz,1
22.76,88.37,0.430,0.347,0.562,137.97,23.95,48,argileux,arachide,1
19.82,8.53,0.432,0.389,0.462,45.64,20.64,91,loam,mil,1
27.60,2.78,0.529,0.527,0.576,24.03,28.26,45,argileux,mil,1
33.62,0.80,0.231,0.357,0.339,0.00,32.93,20,argileux,coton,0
30.72,5.47,0.507,0.468,0.452,4.19,31.21,83,loam,coton,3
24.43,184.74,0.089,0.141,0.480,183.81,23.57,44,argileux,maïs,1
15.76,0.81,0.255,0.263,0.383,34.74,16.84,73,loam,coton,1
27.29,23.60,0.237,0.215,0.401,70.74,29.75,63,loam,sorgho,4
35.84,13.23,0.160,0.190,0.385,24.18,34.15,5,loam,riz,1
39.23,205.07,0.504,0.469,0.772,212.85,37.21,64,sableux,maïs,1
30.35,50.85,0.427,0.341,0.538,54.89,33.08,72,sableux,maïs,1
24.17,59.68,0.238,0.258,0.398,68.54,25.17,69,sableux,sorgho,1
23.23,5.64,0.308,0.152,0.454,47.85,23.11,33,loam,coton,1
34.24,5.60,0.139,0.084,0.305,18.34,32.17,22,argileux,sorgho,0
41.62,19.05,0.138,0.240,0.280,44.02,39.10,13,sableux,sorgho,0
21.80,3.06,0.757,0.679,0.672,0.00,23.07,71,loam,arachide,1
21.35,40.04,0.334,0.456,0.347,45.02,23.84,97,loam,sorgho,0
29.74,25.43,0.437,0.411,0.396,20.15,30.84,89,argileux,arachide,1
27.51,10.39,0.344,0.329,0.354,76.03,27.88,23,loam,mil,1
24.63,7.47,0.107,0.067,0.144,21.64,26.38,86,argileux,coton,0
34.64,24.43,0.077,0.122,0.232,68.31,33.65,53,sableux,mil,1
25.29,29.09,0.664,0.669,0.715,75.65,24.19,101,sableux,mil,3
25.25,24.62,0.189,0.033,0.322,44.27,26.07,59,sableux,mil,0
17.56,0.43,0.078,0.067,0.097,0.00,18.53,29,sableux,riz,0
20.18,1.64,0.287,0.218,0.387,59.35,19.25,101,loam,maïs,1
12.61,29.41,0.231,0.210,0.347,53.76,13.63,105,argileux,coton,1
21.60,8.79,0.511,0.540,0.539,7.49,18.99,0,sableux,mil,2
39.82,12.38,0.104,0.087,0.228,48.39,38.79,33,argileux,sorgho,0
12.56,19.31,0.252,0.244,0.375,33.96,10.87,19,loam,coton,1
26.12,16.29,0.225,0.230,0.346,35.50,25.64,110,loam,sorgho,0
29.15,12.36,0.233,0.336,0.379,2.55,29.39,53,argileux,sorgho,1
32.43,7.11,0.201,0.129,0.377,26.85,30.00,111,sableux,maïs,1
26.06,26.82,0.433,0.496,0.504,58.09,25.13,103,loam,coton,1
11.66,49.81,0.647,0.644,0.692,77.49,10.00,100,loam,sorgho,3
30.47,28.10,0.292,0.358,0.396,55.90,28.27,28,sableux,arachide,1
31.99,18.55,0.128,0.079,0.287,37.40,32.35,86,argileux,riz,0
16.05,14.67,0.069,0.082,0.286,63.87,16.20,54,sableux,riz,1
28.29,5.46,0.395,0.367,0.412,4.12,28.96,49,argileux,riz,1
6.73,37.55,0.198,0.132,0.214,77.38,10.00,116,argileux,coton,1
23.65,41.68,0.616,0.693,0.652,24.50,24.72,67,argileux,arachide,1
20.68,6.27,0.156,0.050,0.319,20.63,19.43,70,loam,arachide,0
28.82,12.87,0.087,0.101,0.220,63.39,31.44,72,argileux,sorgho,1
37.97,264.60,0.569,0.489,0.803,286.22,40.00,5,argileux,maïs,2
29.56,11.63,0.375,0.412,0.472,6.54,31.51,52,argileux,arachide,1
27.43,39.98,0.270,0.146,0.353,34.15,28.75,1,sableux,riz,1
25.30,10.02,0.250,0.213,0.371,41.40,26.60,15,loam,arachide,1
21.51,9.69,0.107,0.053,0.259,62.93,22.27,17,loam,sorgho,4
33.75,7.82,0.287,0.289,0.355,8.00,37.86,119,argileux,maïs,1
36.57,48.62,0.361,0.174,0.390,41.23,34.15,58,argileux,coton,1
26.82,0.35,0.085,0.263,0.197,56.20,25.32,57,argileux,mil,1
37.10,48.69,0.018,0.032,0.239,87.14,34.50,120,loam,arachide,1
17.02,19.02,0.198,0.182,0.339,68.27,15.82,38,sableux,riz,1
35.89,32.40,0.451,0.397,0.425,59.69,38.98,12,loam,arachide,1
28.62,2.49,0.125,0.010,0.221,1.58,25.08,62,sableux,maïs,1
32.85,49.03,0.232,0.271,0.428,68.84,37.19,54,argileux,sorgho,1
26.95,19.02,0.181,0.227,0.254,63.14,26.76,89,argileux,riz,1
19.34,68.54,0.120,0.164,0.335,53.76,19.63,62,argileux,riz,1
15.64,16.52,0.409,0.482,0.494,14.43,16.35,76,argileux,coton,1
21.54,8.98,0.253,0.361,0.390,49.52,22.92,68,sableux,coton,1
24.81,0.77,0.530,0.469,0.485,33.49,23.47,6,sableux,arachide,2
24.00,36.24,0.149,0.055,0.310,43.87,18.82,28,sableux,sorgho,0
23.20,31.41,0.335,0.376,0.491,29.79,20.49,26,sableux,sorgho,1
20.49,20.79,0.120,0.163,0.263,29.41,22.91,12,argileux,riz,0
26.38,15.65,0.220,0.141,0.376,2.21,26.25,119,argileux,maïs,1
35.95,2.79,0.418,0.651,0.490,0.00,36.35,19,sableux,maïs,1
27.12,19.71,0.245,0.296,0.461,0.00,28.02,72,loam,maïs,1
26.93,18.32,0.293,0.124,0.408,49.77,28.82,98,loam,riz,0
37.72,9.69,0.170,0.154,0.307,2.32,39.21,0,loam,arachide,0
31.38,30.56,0.010,0.149,0.218,57.77,33.21,74,sableux,sorgho,1
22.72,36.44,0.140,0.220,0.303,96.15,24.76,80,sableux,arachide,1
35.33,43.64,0.243,0.400,0.447,39.65,34.96,113,argileux,mil,1
26.32,11.21,0.219,0.323,0.298,0.00,25.40,81,argileux,coton,0
25.91,86.71,0.348,0.281,0.441,92.33,29.90,31,argileux,mil,2
23.98,26.44,0.469,0.408,0.567,39.87,20.68,98,sableux,mil,3
35.85,8.16,0.508,0.516,0.519,9.35,36.19,26,sableux,mil,1
17.08,22.18,0.297,0.282,0.332,20.79,17.60,94,sableux,maïs,0
23.39,141.80,0.207,0.076,0.544,139.94,24.19,99,sableux,mil,1
23.48,62.35,0.401,0.345,0.457,102.83,21.61,20,sableux,riz,1
28.15,8.80,0.516,0.611,0.556,0.00,27.29,117,sableux,sorgho,3
25.39,2.99,0.057,0.037,0.173,24.36,24.51,91,sableux,maïs,0
21.15,5.81,0.388,0.251,0.442,0.73,20.17,80,sableux,maïs,1
18.33,0.19,0.147,0.161,0.342,30.82,19.40,46,loam,arachide,0
26.63,38.70,0.416,0.353,0.521,46.86,28.54,38,sableux,maïs,1
26.18,17.28,0.394,0.467,0.456,29.03,30.32,4,argileux,maïs,4
19.05,3.67,0.160,0.142,0.360,15.21,16.50,41,loam,maïs,0
26.94,26.57,0.302,0.235,0.538,11.86,27.20,69,sableux,arachide,1
28.05,10.06,0.440,0.404,0.444,15.36,29.76,110,argileux,coton,1
34.54,1.44,0.197,0.141,0.356,11.68,34.54,42,sableux,sorgho,1
22.94,129.05,0.221,0.214,0.578,168.51,24.16,19,loam,arachide,1
32.21,39.91,0.302,0.269,0.373,41.04,32.19,42,sableux,mil,1
22.57,72.29,0.080,0.035,0.287,94.62,22.78,37,loam,maïs,1
23.15,34.29,0.639,0.721,0.648,27.93,23.21,47,loam,sorgho,1
17.09,51.31,0.401,0.380,0.460,77.08,21.01,41,sableux,arachide,1
31.29,7.60,0.167,0.129,0.311,30.34,30.33,5,loam,maïs,0
21.90,61.47,0.237,0.212,0.464,96.35,20.54,74,loam,sorgho,1
27.44,25.81,0.438,0.427,0.454,31.99,29.68,31,sableux,mil,1
35.10,50.62,0.080,0.076,0.309,68.43,36.83,19,argileux,riz,1
20.01,6.36,0.197,0.172,0.362,6.76,15.70,104,argileux,sorgho,1
26.74,35.24,0.293,0.388,0.440,26.04,27.89,63,sableux,riz,1
30.31,125.10,0.351,0.345,0.570,173.97,33.45,87,sableux,mil,1
22.04,12.80,0.307,0.341,0.348,70.42,24.57,33,argileux,arachide,1
22.46,7.45,0.234,0.356,0.248,46.49,22.99,66,loam,mil,0
30.22,40.32,0.507,0.554,0.497,74.74,30.82,36,loam,mil,1
20.55,9.69,0.019,0.010,0.273,18.96,19.91,92,sableux,riz,0
22.09,51.94,0.412,0.409,0.552,102.67,21.30,2,sableux,sorgho,2
22.35,16.28,0.198,0.181,0.360,39.97,22.77,49,sableux,coton,1
21.19,0.17,0.413,0.265,0.332,25.53,23.39,116,argileux,riz,0
19.76,4.32,0.306,0.302,0.412,19.49,17.44,96,argileux,arachide,1
19.66,4.11,0.165,0.135,0.271,12.41,22.30,62,loam,sorgho,0
30.75,9.52,0.080,0.024,0.259,0.00,28.54,40,argileux,mil,0
19.76,68.30,0.384,0.452,0.608,56.43,20.38,97,sableux,coton,1
29.04,1.98,0.296,0.362,0.443,0.00,30.64,75,sableux,mil,1
28.93,7.79,0.048,0.010,0.281,80.85,27.36,71,sableux,maïs,1
26.52,16.02,0.021,0.022,0.276,29.36,28.98,2,sableux,mil,0
24.59,0.29,0.280,0.299,0.350,20.20,24.52,115,sableux,coton,0
34.62,17.53,0.062,0.043,0.244,0.00,36.59,100,sableux,sorgho,3
32.43,18.70,0.315,0.388,0.409,42.94,32.48,105,argileux,maïs,1
23.57,15.18,0.120,0.250,0.250,39.99,25.14,41,argileux,riz,0
33.24,12.01,0.160,0.207,0.297,28.90,32.97,99,loam,arachide,0
28.52,5.13,0.126,0.010,0.247,25.38,27.96,85,sableux,mil,0
25.98,6.06,0.380,0.388,0.452,33.01,24.67,105,argileux,arachide,1
15.74,5.84,0.592,0.500,0.532,44.63,13.28,94,sableux,riz,3
21.55,42.34,0.405,0.355,0.466,52.03,17.78,118,argileux,sorgho,1
32.78,0.55,0.480,0.596,0.522,12.27,33.50,31,sableux,riz,1
14.98,75.19,0.081,0.225,0.377,90.21,14.19,72,sableux,sorgho,1
37.36,11.36,0.267,0.190,0.288,61.86,39.98,16,loam,riz,1
19.19,3.61,0.088,0.135,0.206,19.98,17.54,34,loam,mil,0
31.20,155.77,0.683,0.660,0.861,193.47,30.39,5,sableux,coton,2
31.58,13.55,0.222,0.244,0.228,47.30,30.71,3,sableux,riz,0
19.58,10.57,0.267,0.315,0.389,40.21,21.35,16,loam,mil,1
31.90,28.06,0.120,0.172,0.258,20.00,33.72,51,sableux,coton,0
26.27,0.75,0.461,0.390,0.505,2.68,28.32,120,sableux,sorgho,1
28.51,1.79,0.571,0.572,0.482,0.00,29.77,60,sableux,sorgho,1
26.68,16.89,0.213,0.303,0.425,32.30,26.90,41,sableux,mil,1
20.48,0.16,0.216,0.010,0.292,19.93,18.03,82,loam,riz,0
21.76,90.72,0.566,0.575,0.727,117.81,22.34,84,argileux,maïs,3
27.69,43.26,0.090,0.010,0.299,36.62,27.43,10,loam,riz,0
25.27,14.22,0.254,0.207,0.430,39.30,26.64,36,sableux,riz,1
23.97,60.92,0.490,0.518,0.518,71.74,22.12,47,loam,mil,1
16.68,18.72,0.296,0.373,0.519,58.02,16.21,114,loam,riz,1
36.94,17.89,0.734,0.778,0.722,28.58,40.00,55,sableux,mil,1
31.57,22.80,0.157,0.128,0.344,10.60,32.76,51,sableux,riz,0
23.35,113.95,0.453,0.588,0.606,123.70,21.16,115,argileux,coton,1
21.63,38.56,0.185,0.206,0.341,68.02,23.97,47,sableux,mil,1
34.87,42.98,0.219,0.278,0.406,37.57,32.94,76,loam,riz,1
17.41,61.48,0.514,0.637,0.646,53.34,18.59,58,argileux,mil,1
23.26,23.64,0.269,0.267,0.413,48.85,21.71,10,argileux,maïs,1
34.51,0.41,0.313,0.404,0.444,0.00,33.11,29,loam,maïs,1
28.22,17.15,0.159,0.301,0.242,31.84,26.48,100,argileux,mil,0
28.71,49.65,0.178,0.046,0.374,61.85,28.21,95,sableux,coton,1
24.30,43.01,0.597,0.510,0.578,51.40,26.28,114,loam,arachide,3
22.23,3.32,0.310,0.217,0.395,34.95,22.90,18,sableux,maïs,1
32.92,46.61,0.140,0.094,0.340,52.81,32.43,84,argileux,mil,1
23.42,12.92,0.216,0.163,0.372,40.57,25.61,103,argileux,coton,1
40.48,54.09,0.307,0.297,0.461,51.59,40.00,58,sableux,arachide,1
26.19,32.20,0.195,0.172,0.300,49.67,26.86,92,loam,sorgho,0
18.71,35.75,0.427,0.352,0.548,60.79,20.47,95,sableux,sorgho,1
24.12,10.41,0.127,0.207,0.311,9.17,26.79,68,argileux,sorgho,0
27.75,6.60,0.270,0.234,0.311,28.51,24.97,85,sableux,riz,0
26.15,16.12,0.429,0.343,0.494,71.91,25.91,8,argileux,arachide,2
34.65,4.92,0.095,0.046,0.279,15.23,33.62,113,argileux,arachide,0
22.91,55.57,0.218,0.028,0.386,63.31,21.84,81,loam,maïs,1
19.59,4.48,0.130,0.031,0.337,22.07,21.92,114,loam,arachide,0
26.26,19.92,0.163,0.247,0.307,34.21,26.57,7,loam,coton,0
34.80,18.19,0.385,0.367,0.484,21.29,34.84,75,loam,sorgho,1
26.27,1.23,0.326,0.267,0.359,13.34,25.14,41,loam,coton,1
26.17,24.94,0.495,0.412,0.529,34.29,26.92,88,argileux,coton,1
19.18,24.55,0.389,0.394,0.470,75.95,18.28,52,sableux,mil,1
24.08,20.04,0.151,0.188,0.424,32.68,25.21,53,loam,maïs,1
14.82,2.22,0.087,0.010,0.234,10.33,14.19,25,sableux,mil,0
21.29,24.63,0.130,0.087,0.307,34.13,20.09,69,sableux,maïs,0
25.79,26.74,0.217,0.188,0.370,0.00,25.41,16,sableux,maïs,1
26.76,66.15,0.328,0.179,0.531,55.54,25.51,75,argileux,mil,1
33.51,71.90,0.362,0.324,0.561,114.45,34.13,38,argileux,maïs,1
16.43,4.86,0.386,0.398,0.347,33.77,20.59,24,loam,mil,0
15.27,10.26,0.459,0.457,0.433,0.79,12.21,117,sableux,coton,1
27.30,10.81,0.277,0.355,0.326,46.88,26.95,58,loam,mil,0
16.38,104.59,0.288,0.250,0.577,139.65,18.00,87,sableux,riz,1
23.91,1.16,0.147,0.183,0.294,29.16,19.48,118,argileux,riz,0
32.05,14.20,0.140,0.031,0.367,13.27,34.68,119,argileux,coton,1
31.33,1.19,0.285,0.460,0.355,14.71,31.53,95,argileux,riz,1
24.68,28.69,0.325,0.272,0.342,72.69,26.04,101,sableux,riz,1
27.94,12.47,0.584,0.577,0.605,0.00,25.07,118,argileux,sorgho,3
25.65,37.27,0.294,0.358,0.411,38.41,27.40,117,argileux,sorgho,1
25.60,18.18,0.271,0.348,0.273,11.68,28.33,67,loam,coton,0
26.73,2.67,0.265,0.232,0.303,31.10,26.60,52,argileux,riz,0
10.16,79.50,0.335,0.311,0.461,91.44,10.00,95,sableux,sorgho,1
16.72,2.34,0.241,0.202,0.258,0.00,17.81,41,argileux,maïs,0
21.17,0.08,0.424,0.408,0.491,1.22,21.29,90,loam,mil,2
17.27,31.05,0.151,0.247,0.372,65.90,18.10,81,loam,arachide,1
37.16,3.47,0.259,0.203,0.317,30.39,37.81,11,loam,coton,0
20.49,0.76,0.408,0.360,0.481,12.36,16.82,55,loam,maïs,1
23.89,26.33,0.091,0.248,0.268,36.50,20.75,118,loam,arachide,0
19.26,46.87,0.529,0.309,0.585,69.82,25.69,81,sableux,sorgho,3
28.17,39.32,0.333,0.293,0.407,51.67,29.86,116,argileux,sorgho,1
22.02,12.91,0.263,0.221,0.416,25.00,20.18,9,argileux,mil,1
17.72,2.29,0.026,0.029,0.174,18.22,18.17,93,sableux,maïs,0
24.85,0.58,0.676,0.647,0.586,35.36,23.99,88,sableux,riz,3
30.82,12.56,0.106,0.075,0.213,4.26,28.27,111,sableux,arachide,0
23.99,34.71,0.374,0.562,0.427,48.64,24.81,88,loam,arachide,1
21.99,9.15,0.126,0.199,0.328,60.76,22.09,2,sableux,maïs,1
29.81,4.57,0.384,0.297,0.432,45.76,29.49,41,argileux,riz,1
25.83,26.12,0.311,0.253,0.478,27.95,27.66,18,sableux,sorgho,1
33.34,33.31,0.520,0.477,0.493,52.48,35.32,95,sableux,mil,0
23.48,5.39,0.682,0.640,0.612,0.00,24.28,91,argileux,mil,3
27.31,7.88,0.421,0.396,0.492,0.00,26.76,9,loam,arachide,2
8.82,13.60,0.160,0.143,0.424,28.65,10.00,87,loam,sorgho,1
20.81,2.02,0.526,0.551,0.529,19.33,18.44,70,sableux,maïs,1
17.55,11.27,0.138,0.202,0.279,35.79,18.69,49,sableux,coton,0
25.38,7.25,0.281,0.212,0.402,37.85,27.92,1,loam,riz,1
18.80,2.37,0.759,0.753,0.623,14.05,19.24,84,argileux,sorgho,3
22.04,13.43,0.242,0.245,0.354,59.77,23.17,86,argileux,coton,1
29.32,1.73,0.196,0.211,0.255,0.00,28.95,70,argileux,coton,0
20.66,35.56,0.232,0.263,0.403,69.33,22.10,6,argileux,coton,1
31.38,4.10,0.062,0.010,0.252,2.20,33.61,81,loam,maïs,0
35.45,2.52,0.188,0.190,0.365,34.25,33.70,66,argileux,riz,0
20.02,0.63,0.204,0.225,0.370,36.50,19.85,99,sableux,coton,1
24.79,82.32,0.548,0.497,0.687,104.91,20.35,65,argileux,sorgho,1
27.23,0.14,0.530,0.506,0.528,13.41,25.27,58,sableux,arachide,1
23.17,11.35,0.449,0.480,0.555,31.32,21.53,96,argileux,coton,1
28.85,8.02,0.614,0.579,0.585,9.08,30.46,17,argileux,arachide,1
19.64,35.84,0.221,0.126,0.331,41.61,16.76,83,sableux,sorgho,0
19.57,14.91,0.323,0.496,0.437,55.13,17.46,65,argileux,sorgho,1
39.32,10.34,0.368,0.335,0.550,9.63,40.00,71,loam,sorgho,1
23.35,6.00,0.513,0.590,0.529,19.76,21.49,36,argileux,mil,1
29.08,26.28,0.469,0.417,0.559,28.41,34.24,16,argileux,riz,1
23.95,3.49,0.467,0.572,0.472,16.12,28.52,56,loam,mil,1
30.23,2.30,0.398,0.476,0.485,11.91,29.00,67,sableux,coton,1
31.54,14.45,0.156,0.164,0.279,46.27,34.53,93,loam,arachide,0
28.87,1.36,0.321,0.263,0.420,1.83,31.64,99,argileux,coton,1
12.82,27.87,0.486,0.558,0.488,85.27,10.93,114,argileux,maïs,1
27.68,29.22,0.060,0.074,0.304,57.93,27.65,74,loam,mil,1
31.36,24.00,0.298,0.267,0.454,41.10,31.03,41,argileux,mil,1
20.25,7.29,0.231,0.010,0.358,22.82,20.23,82,loam,maïs,1
27.94,38.62,0.494,0.501,0.506,68.02,24.43,109,loam,mil,1
21.53,19.19,0.301,0.272,0.445,28.57,22.77,120,sableux,coton,1
29.77,13.11,0.243,0.211,0.349,18.82,28.35,117,argileux,riz,0
20.09,37.48,0.523,0.464,0.590,55.49,18.51,75,sableux,maïs,1
30.12,37.19,0.259,0.197,0.373,53.86,31.64,52,loam,sorgho,2
16.41,13.57,0.216,0.156,0.341,10.71,13.56,48,argileux,arachide,0
20.36,51.68,0.160,0.131,0.328,55.22,20.79,79,argileux,coton,1
31.51,0.97,0.056,0.214,0.216,40.85,29.80,114,sableux,maïs,0
16.99,41.67,0.412,0.577,0.564,72.43,15.22,26,argileux,mil,1
23.65,133.28,0.158,0.109,0.495,126.24,28.27,101,sableux,maïs,1
20.36,7.75,0.419,0.292,0.438,10.05,21.02,14,argileux,sorgho,1
19.95,22.63,0.345,0.354,0.356,29.72,21.92,102,sableux,coton,1
15.63,70.37,0.145,0.149,0.364,127.36,10.28,15,loam,mil,1
22.43,15.22,0.133,0.209,0.311,38.97,20.47,63,sableux,mil,0
24.28,64.01,0.159,0.124,0.456,63.03,24.41,9,sableux,maïs,1
20.51,14.36,0.129,0.186,0.284,19.54,20.35,36,loam,coton,0
28.49,106.17,0.228,0.241,0.511,141.24,29.78,27,loam,sorgho,1
34.59,12.89,0.171,0.126,0.376,50.22,36.05,90,loam,riz,1
14.88,20.08,0.228,0.299,0.317,22.33,15.45,24,loam,riz,0
27.34,15.55,0.199,0.268,0.287,34.20,29.64,9,loam,maïs,0
26.47,26.58,0.268,0.291,0.522,33.44,22.32,109,sableux,sorgho,1
24.81,0.01,0.702,0.655,0.571,23.20,25.55,13,sableux,sorgho,1
30.41,3.03,0.336,0.327,0.483,26.48,30.10,32,argileux,maïs,1
24.27,25.86,0.267,0.296,0.407,44.76,23.53,98,loam,coton,1
21.75,31.92,0.312,0.329,0.374,76.59,20.47,81,argileux,riz,1
